"CC-2017-08733","466 EAST ONTARIO AVE SW, Atlanta, GA, ","Match","Exact","466 E ONTARIO AVE SW, ATLANTA, GA, 30310","-84.43814,33.742577","17340563","L"
"CC-2017-08730","475 EAST ONTARIO AVE SW, Atlanta, GA, ","Match","Exact","475 E ONTARIO AVE SW, ATLANTA, GA, 30310","-84.438156,33.74189","17340563","R"
"CC-2017-09359","2046 ARLINGTON CIR NW, Atlanta, GA, ","Match","Exact","2046 ARLINGTON CIR NW, ATLANTA, GA, 30318","-84.45648,33.77044","17339684","L"
"CC-2017-08731","1824 WESTWOOD AVE SW, Atlanta, GA, ","Match","Exact","1824 WESTWOOD AVE SW, ATLANTA, GA, 30310","-84.44775,33.738777","17341077","L"
"CC-2017-09107","1108 RHOMBOID ST NW, Atlanta, GA, ","Match","Exact","1108 RHOMBOID ST NW, ATLANTA, GA, 30318","-84.42412,33.80771","17362045","L"
"CC-2017-08984","692 CONNALLY ST SE, Atlanta, GA, ","Tie"
"CC-2017-09106","2088 HOLLYWOOD RD NW, Atlanta, GA, ","Match","Exact","2088 HOLLYWOOD RD NW, ATLANTA, GA, 30318","-84.47013,33.81247","17333663","L"
"CC-2017-08985","1710 DEFOOR PL NW, Atlanta, GA, ","Match","Exact","1710 DEFOOR PL NW, ATLANTA, GA, 30318","-84.42144,33.802475","17335060","L"
"CC-2017-08986","62 MONTGOMERY ST NE, Atlanta, GA, ","Match","Exact","62 MONTGOMERY ST NE, ATLANTA, GA, 30307","-84.33973,33.754646","23365210","L"
"CC-2017-09104","782 MARTIN L KING JR DR SW, Atlanta, GA, ","Match","Exact","782 MARTIN LUTHER KING JR DR SW, ATLANTA, GA, 30314","-84.41331,33.754677","17342783","L"
"CC-2017-08987","1932 BREWER BLVD SW, Atlanta, GA, ","Match","Exact","1932 BREWER BLVD SW, ATLANTA, GA, 30310","-84.41197,33.701626","17345801","L"
"CC-2017-09301","898 PROCTOR ST NW, Atlanta, GA, ","Match","Exact","898 PROCTOR ST NW, ATLANTA, GA, 30314","-84.4174,33.76497","17342439","L"
"CC-2017-08781","833 NORTH GRAND AVE NW, Atlanta, GA, ","Match","Exact","833 N GRAND AVE NW, ATLANTA, GA, 30318","-84.462296,33.77812","17339581","R"
"CC-2017-08988","3715 CLOVIS CT NW, Atlanta, GA, ","Match","Exact","3715 CLOVIS CT NW, ATLANTA, GA, 30331","-84.50951,33.7753","17336443","R"
"CC-2017-09300","940 HARWELL ST NW, Atlanta, GA, ","Match","Exact","940 HARWELL ST NW, ATLANTA, GA, 30314","-84.4184,33.755566","17342472","L"
"CC-2017-08782","95 MOURY AVE SE, Atlanta, GA, ","Match","Exact","95 MOURY AVE SE, ATLANTA, GA, 30315","-84.387245,33.71273","17346852","R"
"CC-2017-08989","465 FEDORA WAY NW, Atlanta, GA, ","Match","Exact","465 FEDORA WAY NW, ATLANTA, GA, 30331","-84.50692,33.7679","17336474","R"
"CC-2017-09109","2489 PAUL AVE NW, Atlanta, GA, ","Match","Exact","2489 PAUL AVE NW, ATLANTA, GA, 30318","-84.472946,33.8216","17333558","R"
"CC-2017-08783","433 TRABERT AVE NW, Atlanta, GA, ","Match","Exact","433 TRABERT AVE NW, ATLANTA, GA, 30309","-84.40202,33.794716","17335655","R"
"CC-2017-09108","1077 MANTISSA ST NW, Atlanta, GA, ","Match","Exact","1077 MANTISSA ST NW, ATLANTA, GA, 30318","-84.42328,33.80651","17334998","R"
"CC-2017-08784","1357 WICHITA DR SW, Atlanta, GA, ","Match","Exact","1357 WICHITA DR SW, ATLANTA, GA, 30311","-84.44212,33.71868","17341197","R"
"CC-2017-08786","2624 FORREST WAY NE, Atlanta, GA, ","Match","Exact","2624 FORREST WAY NE, ATLANTA, GA, 30305","-84.37958,33.826744","17335496","L"
"CC-2017-09304","1451 LAVENDER DR NW, Atlanta, GA, ","Match","Exact","1451 LAVENDER DR NW, ATLANTA, GA, 30314","-84.43567,33.76126","17340395","R"
"CC-2017-08785","2800 MARTIN L KING JR DR SW, Atlanta, GA, ","Match","Exact","2800 MARTIN LUTHER KING JR DR SW, ATLANTA, GA, 30311","-84.47799,33.754337","609979353","L"
"CC-2017-09305","375 JOSEPH E LOWERY BLVD NW, Atlanta, GA, ","Match","Exact","375 JOSEPH E LOWERY BLVD NW, ATLANTA, GA, 30314","-84.41744,33.765472","17342437","R"
"CC-2017-08788","17 PEYTON PL SW, Atlanta, GA, ","Match","Exact","17 PEYTON PL SW, ATLANTA, GA, 30311","-84.47645,33.75418","618356579","R"
"CC-2017-09302","1211 MARTIN L KING JR DR SW, Atlanta, GA, ","Match","Exact","1211 MARTIN LUTHER KING JR DR SW, ATLANTA, GA, 30314","-84.42681,33.75349","17342506","R"
"CC-2017-08787","1245 MELBENAN DR SW, Atlanta, GA, ","Match","Exact","1245 MELBENAN DR SW, ATLANTA, GA, 30311","-84.498,33.721462","17337443","R"
"CC-2017-09303","1250 MARTIN L KING JR DR SW, Atlanta, GA, ","Match","Exact","1250 MARTIN LUTHER KING JR DR SW, ATLANTA, GA, 30314","-84.428345,33.753494","17342501","L"
"CC-2017-09308","1295 MARTIN L KING JR DR SW, Atlanta, GA, ","Match","Exact","1295 MARTIN LUTHER KING JR DR SW, ATLANTA, GA, 30314","-84.42794,33.753487","17342506","R"
"CC-2017-09102","1949 SHIRLEY ST SW, Atlanta, GA, ","Match","Exact","1949 SHIRLEY ST SW, ATLANTA, GA, 30311","-84.450676,33.732113","17378382","R"
"CC-2017-08980","1884 WINDSOR DR SW, Atlanta, GA, ","Match","Exact","1884 WINDSOR DR SW, ATLANTA, GA, 30311","-84.47528,33.704433","17340841","L"
"CC-2017-08789","532 CLEVELAND AVE SW, Atlanta, GA, ","Match","Exact","532 CLEVELAND AVE SW, ATLANTA, GA, 30315","-84.405556,33.681255","17412580","L"
"CC-2017-09309","1216 MARTIN L KING JR DR SW, Atlanta, GA, ","Match","Exact","1216 MARTIN LUTHER KING JR DR SW, ATLANTA, GA, 30314","-84.42723,33.753464","17342506","L"
"CC-2017-09103","46 CHAPPELL RD NW, Atlanta, GA, ","Match","Exact","46 CHAPPELL RD NW, ATLANTA, GA, 30314","-84.43356,33.756256","17340463","L"
"CC-2017-09306","369 JOSEPH E LOWERY BLVD NW, Atlanta, GA, ","Match","Exact","369 JOSEPH E LOWERY BLVD NW, ATLANTA, GA, 30314","-84.41744,33.76543","17342437","R"
"CC-2017-09100","960 NEAL ST NW, Atlanta, GA, ","Match","Exact","960 NEAL ST NW, ATLANTA, GA, 30314","-84.41912,33.76644","17342431","L"
